ID udv,Nom UDV
17370,MEDIC CENTER CB
17380,MEDIC CENTRE PP
17650,MEDIC INDUSTRIE
17652,MEDIC VICHY
17654,MEDIC TOURS
17684,MEDIC NEVERS
17688,MEDIC BOURGES
17690,MEDIC CLERMONT
