company_ref,account_name
01038dfc-8ab3-48ae-9a18-320de8a65593,089 ANGLET BAYONNE
713ebde5-567d-4fcd-9dff-654e5ee000f3,090 CHATEAUROUX
fa4bfc39-cb35-4ef2-aad7-2f930439de2c,091 CORMEILLES
edda242a-99cb-4a6a-a158-069529ff3568,092 AUBERGENVILLE
d2afa820-277f-478a-998f-166866eb2b58,093 BORDEAUX ST MEDARD
eb7f24d5-12cb-4a50-a857-67d335118c9b,094 BEZIERS
47c6c091-f3b1-4277-ab9e-f2e29cf5bf04,095 MACON
86ab3a8e-cb40-4d59-83d4-c4859f77a42d,097 ROUEN BARENTIN
af5676de-cee6-4423-afed-9f4456cbbe90,100 BONNEUIL
68354497-1db7-43c9-91fe-e34b93807030,101 BERGERAC
0f8ec47a-00e0-4081-a45b-556da03d837c,103 NANCY LAXOU
46b0edff-8dcb-4cf5-b090-9298c7245067,104 GAP
b9652299-63b4-40cf-bb16-8768823f2606,105 LORIENT
54ef3fff-f870-4958-aadf-3f11e919be65,106 GRENOBLE CROLLES
9b12a1a2-a15d-4f8e-b12b-e899c54ac173,107 MONTBELIARD
7a2e7dee-2c29-4466-a891-45dd52e44fdd,108 SERVON
9bc8c06b-8d39-4819-a711-72256a9209d1,109 LYON BEYNOST
01bac810-50dd-4eef-8813-65a8c20f0b0e,110 RODEZ
43508678-4080-4368-8f16-22ad19a63e65,111 STRASBOURG GEISPOLS
3006953b-bab0-4cd6-a821-01569481d15d,112 CHAMBOURCY
370d1a87-5820-49d2-bd43-9df141fa6241,113 CREIL
5c96fb99-ce5f-4be5-b797-fa66f8216b6d,114 TROYES
3882a843-9641-4b63-9e97-2673486fd360,115 CAEN MONDEVILLE
e73acee4-db38-4f25-b8e7-bc6e5e1f82cb,116 CANNES MANDELIEU
de8ff4d2-9ede-4edc-9983-1dad81440813,117 AMIENS
f80b2c88-8209-428f-9710-26ea4bfe7b4e,118 TRIGNAC
